index,bitstring,cost,energy,probability
25,010000001001100100001010001001,0,1721.5,0.0009765625
125,011000001001101111001001101001,0,2572.25,0.0009765625
130,011010100001111110001001101011,0,2602.25,0.0009765625
191,010000100001011010001101101110,0,2962.75,0.0009765625
196,100000001001101000001011010011,0,3012.75,0.0009765625
214,000100001001101101001110110101,0,3052.75,0.0009765625
232,100110001001010101111000010011,0,3193.0,0.0009765625
307,011100001001111100011000001100,0,3603.25,0.0009765625
390,101000001001111110000110010011,0,3903.5,0.0009765625
438,010001001001011010011010001001,0,4264.0,0.0009765625
444,100100100001101100000010111100,0,4354.0,0.0009765625
510,100001001001111100011010111100,0,4904.5,0.0009765625
519,001001001001111111111111001010,0,4944.5,0.0009765625
536,100101100001111100000110100110,0,5164.75,0.0009765625
585,110011001001101111011011101010,0,5695.25,0.0009765625
612,010101001001011010100010000110,0,6346.0,0.0009765625
614,000101001001111000100110101101,0,6426.0,0.0009765625
634,010110001001110111101111101010,0,6736.25,0.0009765625
665,000101001001101011011110101011,0,7216.75,0.0009765625
667,001111100001111010111001111001,0,7246.75,0.0009765625
668,101010100001110110010000101000,0,7256.75,0.0009765625
706,010101100001110011000010111000,0,8257.75,0.0009765625
707,010101100001110011001100001010,0,8257.75,0.0009765625
732,011110100001011100001101001111,0,8688.25,0.0009765625
735,111100001001110101110011111110,0,8778.25,0.0009765625
761,011001100001110100010011101111,0,9298.75,0.0009765625
769,110101001001011110010110110000,0,9509.0,0.0009765625
793,010101100001101101110010101011,0,10079.5,0.0009765625
822,100101100001111110001110111101,0,10670.0,0.0009765625
861,010101100001111010110011001110,0,12191.5,0.0009765625
869,011011100001011110010111111111,0,12371.75,0.0009765625
878,010110100001111110001111111111,0,12491.75,0.0009765625
891,001101100001111110111111110111,0,12752.0,0.0009765625
923,011101001001010111111010101111,0,13903.25,0.0009765625
929,010101001001101110010111001110,0,14023.25,0.0009765625
993,010101100001001010011111110001,0,16986.25,0.0009765625
1015,110101100001101110011111111110,0,19748.75,0.0009765625
1017,111101100001001000111111111110,0,19809.0,0.0009765625
