index,bitstring,energy,probability
0,011000,0.0,0.1337890625
1,100100,0.0,0.138671875
2,010010,0.25,0.072265625
3,011010,0.25,0.013671875
4,000110,0.25,0.068359375
5,100110,0.25,0.011718749999999998
6,010110,0.25,0.028320312499999997
7,100001,0.25,0.06347656249999999
8,001001,0.25,0.087890625
9,101001,0.25,0.018554687500000003
10,011001,0.25,0.011718749999999998
11,100101,0.25,0.012695312499999998
12,100000,0.5,0.009765625000000002
13,010000,0.5,0.023437499999999997
14,110000,0.5,0.0205078125
15,001000,0.5,0.025390624999999997
16,101000,0.5,0.018554687500000003
17,111000,0.5,0.00390625
18,000100,0.5,0.017578124999999997
19,010100,0.5,0.012695312499999998
20,001100,0.5,0.019531250000000003
21,101100,0.5,0.0009765625
22,011100,0.5,0.0029296874999999996
23,000011,0.5,0.04199218749999999
24,100011,0.5,0.007812500000000002
25,010011,0.5,0.0029296874999999996
26,001011,0.5,0.006835937500000001
27,011011,0.5,0.004882812500000001
28,000111,0.5,0.006835937500000001
29,100111,0.5,0.0029296874999999996
30,000010,0.75,0.0009765625
31,100010,0.75,0.0029296874999999996
32,110010,0.75,0.0019531250000000004
33,001010,0.75,0.00390625
34,110110,0.75,0.0009765625
35,001110,0.75,0.00390625
36,011110,0.75,0.0029296874999999996
37,000001,0.75,0.0029296874999999996
38,010001,0.75,0.0009765625
39,110001,0.75,0.0009765625
40,111001,0.75,0.0029296874999999996
41,000101,0.75,0.0019531250000000004
42,001101,0.75,0.0019531250000000004
43,101101,0.75,0.00390625
44,000000,1.0,0.0019531250000000004
45,101011,1.0,0.015625
46,010111,1.0,0.012695312499999998
47,001111,1.0,0.0019531250000000004
48,101010,1.25,0.0029296874999999996
49,111010,1.25,0.009765625000000002
50,101110,1.25,0.006835937500000001
51,010101,1.25,0.00390625
52,110101,1.25,0.012695312499999998
53,011101,1.25,0.007812500000000002
